Bond,Date,Cashflow
OAT 2027,2027-05-25,101.000
OAT 2028,2027-05-25,0.75000
OAT 2028,2028-05-25,100.75000
OAT 2029,2027-05-25,0.5000
OAT 2029,2028-05-25,0.5000
OAT 2029,2029-05-25,100.5000
OAT 2030,2027-05-25,2.5000
OAT 2030,2028-05-25,2.5000
OAT 2030,2029-05-25,2.5000
OAT 2030,2030-05-27,102.5000
OAT 2031,2027-05-25,1.5000
OAT 2031,2028-05-25,1.5000
OAT 2031,2029-05-25,1.5000
OAT 2031,2030-05-27,1.5000
OAT 2031,2031-05-26,101.5000
OAT 2032,2027-05-25,0.00
OAT 2032,2028-05-25,0.00
OAT 2032,2029-05-25,0.00
OAT 2032,2030-05-27,0.00
OAT 2032,2031-05-26,0.00
OAT 2032,2032-05-25,100.00
OAT 2033,2027-05-25,3.000
OAT 2033,2028-05-25,3.000
OAT 2033,2029-05-25,3.000
OAT 2033,2030-05-27,3.000
OAT 2033,2031-05-26,3.000
OAT 2033,2032-05-25,3.000
OAT 2033,2033-05-25,103.000
OAT 2034,2027-05-25,1.25000
OAT 2034,2028-05-25,1.25000
OAT 2034,2029-05-25,1.25000
OAT 2034,2030-05-27,1.25000
OAT 2034,2031-05-26,1.25000
OAT 2034,2032-05-25,1.25000
OAT 2034,2033-05-25,1.25000
OAT 2034,2034-05-25,101.25000
OAT 2035,2027-05-25,3.2000
OAT 2035,2028-05-25,3.2000
OAT 2035,2029-05-25,3.2000
OAT 2035,2030-05-27,3.2000
OAT 2035,2031-05-26,3.2000
OAT 2035,2032-05-25,3.2000
OAT 2035,2033-05-25,3.2000
OAT 2035,2034-05-25,3.2000
OAT 2035,2035-05-25,103.2000
OAT 2036,2027-05-25,1.25000
OAT 2036,2028-05-25,1.25000
OAT 2036,2029-05-25,1.25000
OAT 2036,2030-05-27,1.25000
OAT 2036,2031-05-26,1.25000
OAT 2036,2032-05-25,1.25000
OAT 2036,2033-05-25,1.25000
OAT 2036,2034-05-25,1.25000
OAT 2036,2035-05-25,1.25000
OAT 2036,2036-05-26,101.25000
OAT 2037,2027-05-25,3.8000
OAT 2037,2028-05-25,3.8000
OAT 2037,2029-05-25,3.8000
OAT 2037,2030-05-27,3.8000
OAT 2037,2031-05-26,3.8000
OAT 2037,2032-05-25,3.8000
OAT 2037,2033-05-25,3.8000
OAT 2037,2034-05-25,3.8000
OAT 2037,2035-05-25,3.8000
OAT 2037,2036-05-26,3.8000
OAT 2037,2037-05-25,103.8000
OAT 2038,2027-05-25,1.25000
OAT 2038,2028-05-25,1.25000
OAT 2038,2029-05-25,1.25000
OAT 2038,2030-05-27,1.25000
OAT 2038,2031-05-26,1.25000
OAT 2038,2032-05-25,1.25000
OAT 2038,2033-05-25,1.25000
OAT 2038,2034-05-25,1.25000
OAT 2038,2035-05-25,1.25000
OAT 2038,2036-05-26,1.25000
OAT 2038,2037-05-25,1.25000
OAT 2038,2038-05-25,101.25000
OAT 2039,2027-05-25,1.75000
OAT 2039,2028-05-25,1.75000
OAT 2039,2029-05-25,1.75000
OAT 2039,2030-05-27,1.75000
OAT 2039,2031-05-26,1.75000
OAT 2039,2032-05-25,1.75000
OAT 2039,2033-05-25,1.75000
OAT 2039,2034-05-25,1.75000
OAT 2039,2035-05-25,1.75000
OAT 2039,2036-05-26,1.75000
OAT 2039,2037-05-25,1.75000
OAT 2039,2038-05-25,1.75000
OAT 2039,2039-05-25,101.75000
OAT 2040,2027-05-25,0.5000
OAT 2040,2028-05-25,0.5000
OAT 2040,2029-05-25,0.5000
OAT 2040,2030-05-27,0.5000
OAT 2040,2031-05-26,0.5000
OAT 2040,2032-05-25,0.5000
OAT 2040,2033-05-25,0.5000
OAT 2040,2034-05-25,0.5000
OAT 2040,2035-05-25,0.5000
OAT 2040,2036-05-26,0.5000
OAT 2040,2037-05-25,0.5000
OAT 2040,2038-05-25,0.5000
OAT 2040,2039-05-25,0.5000
OAT 2040,2040-05-25,100.5000
OAT 2041,2027-05-25,4.5000
OAT 2041,2028-05-25,4.5000
OAT 2041,2029-05-25,4.5000
OAT 2041,2030-05-27,4.5000
OAT 2041,2031-05-26,4.5000
OAT 2041,2032-05-25,4.5000
OAT 2041,2033-05-25,4.5000
OAT 2041,2034-05-25,4.5000
OAT 2041,2035-05-25,4.5000
OAT 2041,2036-05-26,4.5000
OAT 2041,2037-05-25,4.5000
OAT 2041,2038-05-25,4.5000
OAT 2041,2039-05-25,4.5000
OAT 2041,2040-05-25,4.5000
OAT 2041,2041-05-27,104.5000
OAT 2042,2027-05-25,3.6000
OAT 2042,2028-05-25,3.6000
OAT 2042,2029-05-25,3.6000
OAT 2042,2030-05-27,3.6000
OAT 2042,2031-05-26,3.6000
OAT 2042,2032-05-25,3.6000
OAT 2042,2033-05-25,3.6000
OAT 2042,2034-05-25,3.6000
OAT 2042,2035-05-25,3.6000
OAT 2042,2036-05-26,3.6000
OAT 2042,2037-05-25,3.6000
OAT 2042,2038-05-25,3.6000
OAT 2042,2039-05-25,3.6000
OAT 2042,2040-05-25,3.6000
OAT 2042,2041-05-27,3.6000
OAT 2042,2042-05-26,103.6000
OAT 2043,2027-05-25,2.5000
OAT 2043,2028-05-25,2.5000
OAT 2043,2029-05-25,2.5000
OAT 2043,2030-05-27,2.5000
OAT 2043,2031-05-26,2.5000
OAT 2043,2032-05-25,2.5000
OAT 2043,2033-05-25,2.5000
OAT 2043,2034-05-25,2.5000
OAT 2043,2035-05-25,2.5000
OAT 2043,2036-05-26,2.5000
OAT 2043,2037-05-25,2.5000
OAT 2043,2038-05-25,2.5000
OAT 2043,2039-05-25,2.5000
OAT 2043,2040-05-25,2.5000
OAT 2043,2041-05-27,2.5000
OAT 2043,2042-05-26,2.5000
OAT 2043,2043-05-25,102.5000
OAT 2044,2027-05-25,0.5000
OAT 2044,2028-05-25,0.5000
OAT 2044,2029-05-25,0.5000
OAT 2044,2030-05-27,0.5000
OAT 2044,2031-05-26,0.5000
OAT 2044,2032-05-25,0.5000
OAT 2044,2033-05-25,0.5000
OAT 2044,2034-05-25,0.5000
OAT 2044,2035-05-25,0.5000
OAT 2044,2036-05-26,0.5000
OAT 2044,2037-05-25,0.5000
OAT 2044,2038-05-25,0.5000
OAT 2044,2039-05-25,0.5000
OAT 2044,2040-05-25,0.5000
OAT 2044,2041-05-27,0.5000
OAT 2044,2042-05-26,0.5000
OAT 2044,2043-05-25,0.5000
OAT 2044,2044-05-25,100.5000
OAT 2045,2027-05-25,3.25000
OAT 2045,2028-05-25,3.25000
OAT 2045,2029-05-25,3.25000
OAT 2045,2030-05-27,3.25000
OAT 2045,2031-05-26,3.25000
OAT 2045,2032-05-25,3.25000
OAT 2045,2033-05-25,3.25000
OAT 2045,2034-05-25,3.25000
OAT 2045,2035-05-25,3.25000
OAT 2045,2036-05-26,3.25000
OAT 2045,2037-05-25,3.25000
OAT 2045,2038-05-25,3.25000
OAT 2045,2039-05-25,3.25000
OAT 2045,2040-05-25,3.25000
OAT 2045,2041-05-27,3.25000
OAT 2045,2042-05-26,3.25000
OAT 2045,2043-05-25,3.25000
OAT 2045,2044-05-25,3.25000
OAT 2045,2045-05-25,103.25000
