Bond,Maturity,DirtyPrice
OAT 2027,2027-05-25,98.8
OAT 2028,2028-05-25,96.37
OAT 2029,2029-05-25,93.43
OAT 2030,2030-05-25,98.34
OAT 2031,2031-05-25,92.71
OAT 2032,2032-05-25,82.37
OAT 2033,2033-05-25,97.55
OAT 2034,2034-05-25,84.55
OAT 2035,2035-05-25,96.65
OAT 2036,2036-05-25,79.45
OAT 2037,2037-05-25,99.3
OAT 2038,2038-05-25,74.34
OAT 2039,2039-05-25,77.19
OAT 2040,2040-05-25,61.74
OAT 2041,2041-05-25,103.98
OAT 2042,2042-05-25,92.97
OAT 2043,2043-05-25,78.97
OAT 2044,2044-05-25,52.59
OAT 2045,2045-05-25,85.41
