Bond,Maturity,DiscountFactor
OAT 2027,2027-05-25,0.9782178217821782
OAT 2028,2028-05-25,0.9492440360661377
OAT 2029,2029-05-25,0.9200623788166751
OAT 2030,2030-05-27,0.8899628234959759
OAT 2031,2031-05-26,0.8581652158596901
OAT 2032,2032-05-25,0.8237000000000001
OAT 2033,2033-05-25,0.789242166717845
OAT 2034,2034-05-25,0.758412414287179
OAT 2035,2035-05-25,0.7204997873790486
OAT 2036,2036-05-26,0.6897838685875959
OAT 2037,2037-05-25,0.6499643164800497
OAT 2038,2038-05-25,0.622774631734909
OAT 2039,2039-05-25,0.5926530559497519
OAT 2040,2040-05-25,0.5633697387206118
OAT 2041,2041-05-27,0.5296915296512019
OAT 2042,2042-05-26,0.5034876676843256
OAT 2043,2043-05-25,0.48167728162894696
OAT 2044,2044-05-25,0.4619855286823775
OAT 2045,2045-05-25,0.42484836458639585
